,label,area,equivalent_diameter,mean_intensity,filename
115,137,642,28.59055417,1382.943925,Exo70
116,139,1437,42.77435243,1384.613083,Exo70
117,140,2121,51.96673046,965.4695898,Exo70
118,141,1511,43.86188496,1230.826605,Exo70
119,142,1934,49.62303174,1015.772492,Exo70
120,143,1183,38.81033859,1337.351648,Exo70
121,144,1267,40.16459266,877.7955801,Exo70
122,145,1722,46.82433658,1026.012195,Exo70
123,146,511,25.50735987,1919.076321,Exo70
124,148,1344,41.36706357,992.5647321,Exo70
125,149,1609,45.26193133,953.1889372,Exo70
126,150,1687,46.34603664,884.9549496,Exo70
127,151,2206,52.99779652,988.0652765,Exo70
128,152,2713,58.77328377,907.0877258,Exo70
0,1,3118,63.00762573,848.1411161,Exo70
1,3,3447,66.24844686,870.7499275,Exo70
2,4,3876,70.25009947,910.7714138,Exo70
3,6,3065,62.46982635,1219.22186,Exo70
4,7,2949,61.27628756,879.9389624,Exo70
5,8,2878,60.53415077,1122.441974,Exo70
6,10,3116,62.98741479,1018.929397,Exo70
7,11,3338,65.19258854,882.22858,Exo70
8,12,3015,61.95818935,807.3588723,Exo70
9,13,3101,62.83562547,1159.928733,Exo70
10,14,3421,65.99812484,893.2376498,Exo70
11,15,3509,66.84158558,977.154175,Exo70
12,16,3398,65.77589204,876.1600942,Exo70
13,17,3110,62.926743,998.5652733,Exo70
14,18,3048,62.29634124,946.4632546,Exo70
15,19,2466,56.03399609,848.757502,Exo70
16,20,2964,61.43192989,1077.931849,Exo70
17,21,3738,68.98818318,1008.93633,Exo70
18,22,3378,65.58203399,909.7169923,Exo70
19,23,2676,58.37113175,937.0803438,Exo70
20,24,2341,54.59536404,1035.67578,Exo70
21,25,3537,67.10773629,875.0200735,Exo70
22,26,2954,61.32821223,709.345633,Exo70
23,27,4450,75.27227892,1024.890562,Exo70
24,28,4532,75.96263303,1152.128641,Exo70
25,29,2265,53.70183953,936.5664459,Exo70
26,30,3671,68.36711467,1102.099156,Exo70
27,31,2562,57.11426891,673.6811085,Exo70
28,32,3524,66.98429783,936.4602724,Exo70
29,33,3321,65.02636794,945.2740139,Exo70
30,34,3160,63.43056804,1074.667405,Exo70
31,36,2913,60.90112309,1056.810505,Exo70
32,37,1920,49.44309786,859.6385417,Exo70
33,39,1983,50.24772649,1169.381745,Exo70
34,40,3357,65.37786439,1038.933572,Exo70
35,42,3019,61.99927569,1181.363034,Exo70
36,43,2243,53.4403995,813.4150691,Exo70
37,44,3509,66.84158558,1114.322029,Exo70
38,45,1968,50.05732138,928.7413618,Exo70
39,46,3657,68.23662517,1173.745967,Exo70
40,47,3348,65.29016768,816.5194146,Exo70
41,48,2454,55.89749407,899.796251,Exo70
42,49,3392,65.71779467,999.5011792,Exo70
43,50,2708,58.71909985,829.7163959,Exo70
44,51,3153,63.36027371,1106.944497,Exo70
45,52,3364,65.44599169,1168.068074,Exo70
46,53,3718,68.80337657,1072.464766,Exo70
47,54,2497,56.38509682,1019.380457,Exo70
48,55,5101,80.59029047,728.1444815,Exo70
49,57,2870,60.44995859,1004.430314,Exo70
50,58,1461,43.13007042,988.5126626,Exo70
51,60,3005,61.85535411,871.0312812,Exo70
52,61,3755,69.14488044,997.1262317,Exo70
53,62,2193,52.84140726,1202.989512,Exo70
54,63,2395,55.22145154,862.645929,Exo70
55,64,2479,56.18149901,1101.243647,Exo70
56,65,2930,61.07857125,1087.263481,Exo70
57,66,2663,58.22917574,1040.220804,Exo70
58,67,3113,62.9570862,874.3902987,Exo70
59,68,3077,62.59199693,996.8092298,Exo70
60,69,3286,64.68280408,1050.673463,Exo70
61,70,2928,61.05772176,967.8070355,Exo70
62,71,2477,56.15883147,965.7012515,Exo70
63,72,1891,49.06827875,921.2670545,Exo70
64,73,1973,50.12087012,1133.032438,Exo70
65,74,3040,62.2145338,950.6141447,Exo70
66,75,1955,49.89171584,1058.781586,Exo70
67,76,2461,55.9771607,1115.158879,Exo70
68,77,1627,45.51440145,1321.599877,Exo70
69,78,3726,68.87735872,842.3432636,Exo70
70,79,2462,55.98853239,1082.665313,Exo70
71,80,2141,52.2111661,1135.321812,Exo70
72,81,1328,41.12009382,1102.953313,Exo70
73,82,2090,51.58556628,774.2755981,Exo70
74,83,1987,50.29837945,1212.257172,Exo70
75,85,2455,55.90888196,1098.223625,Exo70
76,86,2209,53.03382085,873.1090991,Exo70
77,87,1925,49.50743503,1035.828571,Exo70
78,88,2029,50.82718796,886.1074421,Exo70
79,89,2870,60.44995859,940.8205575,Exo70
80,90,2473,56.11346892,1028.597655,Exo70
81,91,1396,42.15972491,1444.040831,Exo70
82,92,2149,52.30862053,948.1554211,Exo70
83,94,2342,54.60702348,1046.167805,Exo70
84,95,2054,51.13935886,1186.31889,Exo70
85,96,2234,53.33307738,888,Exo70
86,97,1001,35.70031911,1392.491508,Exo70
87,99,1157,38.38148191,1730.729473,Exo70
88,101,1142,38.13187066,696.9623468,Exo70
89,102,700,29.85410661,1133.505714,Exo70
90,103,2828,60.00601164,1078.159123,Exo70
91,104,1948,49.80231554,1232.35883,Exo70
92,105,1125,37.84698783,1190.774222,Exo70
93,106,2720,58.84905744,1347.137132,Exo70
94,107,376,21.88008384,1545.446809,Exo70
